2013-10-15 14:55:10 [INFO] [ForgeModLoader] Forge Mod Loader version 6.4.3.883 for Minecraft 1.6.4 loading
2013-10-15 14:55:10 [INFO] [ForgeModLoader] Java is Java HotSpot(TM) 64-Bit Server VM, version 1.7.0_21, running on Windows 8:amd64:6.2, installed at C:\Program Files\Java\jre7
2013-10-15 14:55:10 [FINE] [ForgeModLoader] Java classpath at launch is C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\minecraftforge\minecraftforge\9.11.0.883\minecraftforge-9.11.0.883.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\minecraft\launchwrapper\1.7\launchwrapper-1.7.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\ow2\asm\asm-all\4.1\asm-all-4.1.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\scala-lang\scala-library\2.10.2\scala-library-2.10.2.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\scala-lang\scala-compiler\2.10.2\scala-compiler-2.10.2.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\lzma\lzma\0.0.1\lzma-0.0.1.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\sf\jopt-simple\jopt-simple\4.5\jopt-simple-4.5.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\codecjorbis\20101023\codecjorbis-20101023.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\codecwav\20101023\codecwav-20101023.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\libraryjavasound\20101123\libraryjavasound-20101123.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\librarylwjglopenal\20100824\librarylwjglopenal-20100824.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\paulscode\soundsystem\20120107\soundsystem-20120107.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\argo\argo\2.25_fixed\argo-2.25_fixed.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\bouncycastle\bcprov-jdk15on\1.47\bcprov-jdk15on-1.47.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\google\guava\guava\14.0\guava-14.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\apache\commons\commons-lang3\3.1\commons-lang3-3.1.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\commons-io\commons-io\2.4\commons-io-2.4.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\java\jinput\jinput\2.0.5\jinput-2.0.5.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\net\java\jutils\jutils\1.0.0\jutils-1.0.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\com\google\code\gson\gson\2.2.2\gson-2.2.2.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\lwjgl\lwjgl\lwjgl\2.9.0\lwjgl-2.9.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\libraries\org\lwjgl\lwjgl\lwjgl_util\2.9.0\lwjgl_util-2.9.0.jar;C:\Users\cédric\AppData\Roaming\.minecraft\versions\1.6.4-Forge9.11.0.883\1.6.4-Forge9.11.0.883.jar
2013-10-15 14:55:10 [FINE] [ForgeModLoader] Java library path at launch is C:\Users\cédric\AppData\Roaming\.minecraft\versions\1.6.4-Forge9.11.0.883\1.6.4-Forge9.11.0.883-natives-510312070840968
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Enabling runtime deobfuscation
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Instantiating coremod class FMLCorePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Loaded coremod FMLCorePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Instantiating coremod class FMLForgePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Loaded coremod FMLForgePlugin
2013-10-15 14:55:11 [FINE] [ForgeModLoader] All fundamental core mods are successfully located
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Discovering coremods
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.AccessTransformer
2013-10-15 14:55:11 [INFO] [STDOUT] Loaded 40 rules from AccessTransformer config file fml_at.cfg
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.MarkerTransformer
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer cpw.mods.fml.common.asm.transformers.SideTransformer
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.ForgeAccessTransformer
2013-10-15 14:55:11 [INFO] [STDOUT] Loaded 109 rules from AccessTransformer config file forge_at.cfg
2013-10-15 14:55:11 [FINEST] [ForgeModLoader] Registering transformer net.minecraftforge.transformers.EventTransformer
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Running coremod plugins
2013-10-15 14:55:11 [FINE] [ForgeModLoader] Running coremod plugin FMLCorePlugin
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.ClientBrandRetriever.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.Minecraft.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.audio.SoundManager.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.entity.EntityOtherPlayerMP.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.entity.EntityPlayerSP.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.GuiControls.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.GuiCreateWorld.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.GuiIngame.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.GuiMainMenu.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.GuiSlot.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.achievement.GuiAchievements.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.inventory.GuiContainer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.gui.inventory.GuiContainerCreative.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.model.ModelBase.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.model.ModelBox.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.model.ModelRenderer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.model.PositionTextureVertex.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.model.TexturedQuad.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.multiplayer.ChunkProviderClient.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.multiplayer.GuiConnecting.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.multiplayer.NetClientHandler.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.multiplayer.PlayerControllerMP.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.multiplayer.WorldClient.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.particle.EffectRenderer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.particle.EntityDiggingFX.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.particle.EntityFireworkStarterFX.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.EntityRenderer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.ItemRenderer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.OpenGlHelper.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.RenderBlocks.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.RenderGlobal.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.Tessellator.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.WorldRenderer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.entity.RenderBiped.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.entity.RenderItem.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.entity.RenderManager.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.entity.RenderPlayer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.entity.RenderSnowMan.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.entity.RenderVillager.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.entity.RendererLivingEntity.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.texture.Stitcher.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.texture.TextureAtlasSprite.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.texture.TextureMap.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.renderer.tileentity.TileEntityChestRenderer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.resources.LanguageManager.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.client.settings.GameSettings.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.command.CommandHandler.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.crash.CallableSuspiciousClasses.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.crash.CrashReport.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.crash.CrashReportCategory.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.creativetab.CreativeTabs.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.enchantment.Enchantment.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.enchantment.EnchantmentHelper.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.Entity.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.EntityList.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.EntityLiving.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.EntityLivingBase.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.EntityTracker.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.EntityTrackerEntry.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.ai.EntityAIAttackOnCollide.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.boss.EntityDragon.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.boss.EntityWither.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.boss.IBossDisplayData.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.item.EntityEnderPearl.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.item.EntityItem.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.item.EntityMinecart.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.item.EntityMinecartContainer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.item.EntityMinecartEmpty.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.item.EntityMinecartFurnace.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.item.EntityMinecartHopper.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.monster.EntityEnderman.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.monster.EntitySlime.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.passive.EntityMooshroom.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.passive.EntityOcelot.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.passive.EntitySheep.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.passive.EntityVillager.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.player.EntityPlayer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.player.EntityPlayerMP.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.entity.player.InventoryPlayer.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.ContainerEnchantment.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.ContainerFurnace.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.ContainerRepair.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.Slot.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.SlotArmor.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.SlotBrewingStandIngredient.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.SlotBrewingStandPotion.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.SlotCrafting.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.inventory.SlotFurnace.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.item.BehaviorDispenseArmor.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.item.EnumArmorMaterial.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.item.EnumRarity.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.item.EnumToolMaterial.binpatch
2013-10-15 14:55:12 [FINEST] [ForgeModLoader] Reading patch data from binpatch/client/net.minecraft.item.Item.binpatch
